prediction,x,y
0.05936251946716786,81,60
0.04518067274140541,91,28
0.08825352154893934,82,49
0.013652926159686057,70,41
0.1314180187023896,85,54
0.026724120318417872,78,66
0.012582802088482087,79,25
0.11241221950441566,90,36
0.0706047498657097,90,32
0.3848451074503569,93,53
0.0009570353210393968,54,31
0.08958129285834684,90,66
0.07802703674370653,87,65
0.3537583510592697,96,57
0.06415579004845022,85,65
0.006866027440074907,75,23
0.17904483503017693,87,49
0.11043082396079548,86,40
0.15073734760656837,86,46
0.013822540418995492,80,25
0.02742153665542831,89,75
0.20106116939206328,97,38
0.015335855783401492,88,79
0.0068562228801788095,74,76
0.05026412027694124,87,31
0.01940356121939279,90,22
0.09819795565936067,84,58
0.3958090005928457,99,56
0.02762789715738374,74,49
0.018747694126455543,72,58
0.2635085322997304,90,47
0.05172533448711648,89,30
0.23648910306518012,89,50
0.02012391362194069,77,68
0.3431088835201566,93,45
0.005561146208259904,69,28
0.05716524498168192,79,52
0.09520704928709153,87,37
0.4627854145380215,97,45
0.061582187907702216,83,63
0.19123387951429516,95,62
0.04907298810714056,80,39
0.21527724152042674,95,39
0.06694841606856294,94,70
0.025378992511107215,83,28
0.019378303497648228,76,33
0.07962641565196349,90,33
0.17258888350244972,87,46
0.27083567997851166,95,59
0.13229010640102032,95,65
0.014274426738656695,72,64
0.013980892866409005,77,28
0.09380524343811553,97,68
0.08350984120827609,93,32
0.01728197770648042,73,37
0.036964102269957305,76,52
0.04822748889270538,88,30
0.11863526922190197,86,41
0.023670696154402118,77,66
0.028942056800756948,86,73
0.03937154407099757,77,57
0.04054017365131137,77,56
0.030444152901983636,75,44
0.024910662326937567,74,58
0.025210858750912713,75,39
0.023400181730287857,81,29
0.16255368849082566,92,62
0.034803939714463314,77,60
0.07962641565196349,90,33
0.17904483503017693,87,51
0.15329743793910103,89,60
0.027527213370993397,74,47
0.012798848311311738,69,56
0.004065426255833515,74,19
0.01994841057891827,88,23
0.08757994070056184,82,53
0.02579954693083988,82,29
0.012963606508745645,74,31
0.0706047498657097,90,68
0.0868895342211836,84,40
0.16007495116447476,87,44
0.3431088835201566,93,55
0.014274426738656695,72,36
0.1609151814304435,88,58
0.023874985013214757,73,50
0.14064055756251556,86,56
0.04822748889270538,88,70
0.3106409035770702,91,50
0.048733088030454466,78,46
0.06605906699920921,80,52
0.29988178665797305,91,53
0.01709852983479004,71,56
0.10213933487873117,86,39
0.035139424731337694,76,56
0.08197139269026141,82,56
0.3661464708307295,93,54
0.043689108311246456,78,42
0.15371402818724483,86,47
0.0178135227017222,71,49
0.01335623996703876,73,67
0.003691486907916389,73,19
0.008177098045740513,73,73
0.08702461857785226,94,32
0.040481636636446494,79,38
0.08350984120827609,93,68
0.0065609827855648995,78,80
0.02762789715738374,74,49
0.3431088835201566,93,55
0.02376694929985775,85,26
0.035139424731337694,76,44
0.019295607617910614,72,57
0.045699661175166474,89,29
0.18486976955388923,90,59
0.17171594489745468,88,43
0.2053542572513648,89,44
0.015234711825428956,70,54
0.06636649941999048,91,31
0.0584346861644107,89,69
0.06300283320947893,87,67
0.01717964647430231,80,27
0.041367211316563665,81,65
0.09294065422257806,89,35
0.013421506506862692,75,30
0.011095021806840974,83,79
0.09294065422257806,89,65
0.10793144176217633,91,65
0.020870161261830528,73,41
0.035139424731337694,76,56
0.008177098045740513,73,27
0.15099107369164283,91,38
0.08825352154893934,82,51
0.02552543668799497,77,65
0.20078177546659529,90,58
0.022827352279030707,73,56
0.0007909389329767302,71,93
0.05434330610036921,88,69
0.08757994070056184,82,53
0.09483792642488155,93,67
0.27034915895299455,90,49
0.09225395475152803,96,32
0.22684808582098542,97,39
0.018457656191145415,77,69
0.22684808582098542,97,61
0.09945724316165444,83,46
0.011935343704579304,74,70
0.020050424442586933,73,60
0.02105821489024618,81,28
0.0766142133815442,88,34
0.035497255135772114,89,27
0.2053542572513648,89,56
0.036964102269957305,76,52
0.19402297540520116,93,61
0.15448622501805778,93,37
0.0463908619389907,82,65
0.11043082396079548,86,40
0.08825352154893934,82,51
0.01687496695852639,77,30
0.025335562182903795,79,68
0.014489926478602554,87,79
0.05393982406223816,96,28
0.04822748889270538,88,30
0.011483516534323097,73,69
0.01687496695852639,77,30
0.15571368730901153,86,49
0.047045722306633155,96,27
0.004744694982455239,66,31
0.2053542572513648,89,44
0.17171594489745468,88,57
0.6504084220293214,97,48
0.013652926159686057,70,41
0.014063645584533458,78,73
0.021865363298247315,77,33
0.041367211316563665,81,65
0.21604319514155593,89,45
0.17340664264496736,93,62
0.1519432152153083,87,43
0.023874985013214757,73,50
0.03699839511599709,76,49
0.07638256264800827,94,69
0.03591899770334477,76,55
0.03981678018735586,80,36
0.14989124295708028,95,64
0.047579629671858824,84,67
0.0766142133815442,88,34
0.01728197770648042,73,63
0.012488056334620645,71,36
0.06201835689028396,80,56
0.02936775638199817,88,26
0.05172533448711648,89,70
0.09392505357181742,86,62
0.0478882929184111,78,55
0.0706047498657097,90,68
0.036840762795908255,76,53
0.08197139269026141,82,44
0.10191817497332098,83,50
0.05847294881619954,91,30
0.01776075694799489,71,47
0.20347212784368868,91,41
0.45070367398072314,95,46
0.042712641806911186,88,71
0.1150482307086501,89,63
0.0940630239578673,83,56
0.09457534818730795,98,68
0.040481636636446494,79,38
0.21604319514155593,89,55
0.07671416193695656,83,40
0.22476229259585234,89,46
0.01687496695852639,77,30
0.006140088106646415,68,31
0.04950693958225128,78,51
0.06605906699920921,80,52
0.012919893915292599,90,19
0.1816378588277154,88,56
0.19324818900859572,89,57
0.009705622809962655,94,84
0.0075019773479395434,77,22
0.2056441990240113,88,51
0.2010943829502181,92,60
0.1793311122209733,87,50
0.04952661582415007,78,50
0.11653467098198642,95,66
0.05860604964515181,94,71
0.14003102821469757,89,39
0.17258888350244972,87,46
0.014610728119999245,75,31
0.03678781452702028,80,65
0.14630897129510884,86,55
0.05217102455881801,81,38
0.22476229259585234,89,54
